ID,"Šifra / kat. broj ***",Naslov
f_id,"f_code ***",f_title
22639,!AIOAS00001-W10H,"All-in-One Asus V241EAK-BA118M i5 / 8GB / 256GB SSD + 1TB HDD / 23,8"" FHD / Windows 10 Home"
22640,!AIOAS00001-W10P,"All-in-One Asus V241EAK-BA118M i5 / 8GB / 256GB SSD + 1TB HDD / 23,8"" FHD / Windows 10 Pro"
22641,!AIOAS00002,"All-in-One Asus M3700WUAK-BA045W R7 / 16GB / 512GB SSD + 1TB HDD / 27"" FHD / Windows 11 Home"
22642,!AIOAS00003,"All-in-One Asus E5402WHAK-DUO239R i5 / 16GB / 256GB SSD + 1TB HDD / 23,8"" FHD / Windows 10 Pro"
24554,!NB14AS00004,"Asus ZenBook 14 OLED UM3402YA-OLED-KM521W"
26033,!NB15LE00011,"Notebook Lenovo V15 G2 i5 / 8GB / 256GB SSD / 15,6"" FHD / Windows 11 Home"
26009,!NB17AS00004,"Notebook Asus ROG Strix SCAR 17 SE G733CX-LL017W"
26034,!V1-NB15LE00011,"Notebook Lenovo V15 G2 i5 / 8GB / 512GB SSD / 15,6"" FHD / Windows 11 Home"
26035,!V2-NB15LE00011,"Notebook Lenovo V15 G2 i5 / 16GB / 512GB SSD / 15,6"" FHD / Windows 11 Home"
26036,!V3-NB15LE00011,"Notebook Lenovo V15 G2 i5 / 16GB / 1TB SSD / 15,6"" FHD / Windows 11 Home"
5753,00000001AD100,"Digitalni audio player PIONEER XDP-02U-L"
5754,00000001AD101,"Digitalni audio player PIONEER XDP-02U-P"
5755,00000001AD102,"Digitalni audio player PIONEER XDP-02U-W"
5723,00000001AP100,"Auto pojačalo PIONEER GM-D9601"
5722,00000001AP103,"Auto pojačalo PIONEER GM-D8604"
5719,00000001AP105,"Auto pojačalo PIONEER GM-A6604"
5721,00000001AP106,"Auto pojačalo PIONEER GM-D1004"
5726,00000001AP108,"Auto pojačalo PIONEER GXT-3604B SET + Subwoofer"
5716,00000001AP109,"Auto pojačalo PIONEER GM-A3702"
5717,00000001AP110,"Auto pojačalo PIONEER GM-A4704"
5718,00000001AP111,"Auto pojačalo PIONEER GM-A5702"
5720,00000001AP112,"Auto pojačalo PIONEER GM-A6704"
5724,00000001AP114,"Auto pojačalo PIONEER GM-ME400X4"
5725,00000001AP115,"Auto pojačalo PIONEER GM-ME500X1"
5727,00000001AP116,"Auto pojačalo PIONEER GXT-3706B SET + Subwoofer"
5849,00000001BL011,"Blu-ray DVD player SONY BDP-S6700B"
5847,00000001BL013,"Blu-ray player SONY BDP-S1700B"
5848,00000001BL014,"Blu-ray player SONY BDP-S3700B"
5760,00000001GR002,"Gramofon SONY PS-LX300USB"
5758,00000001GR100,"Gramofon PIONEER PL-990"
5757,00000001GR103,"Gramofon PIONEER PL-30-K"
5759,00000001GR105,"Gramofon SONY PS-HX500"
5756,00000001GR106,"Gramofon PIONEER PLX-500-W"
5787,00000001ML004,"Mini linija SONY MHC-M60D"
5789,00000001ML009,"Zvučnik SONY MHC-V42D"
5790,00000001ML011,"Zvučnik SONY MHC-V72D"
5788,00000001ML012,"Zvučnik SONY MHC-V11"
5785,00000001ML020,"Mini linija SONY CMT-SBT20"
5791,00000001ML025,"Zvučnik SONY GTK-XB60B"
5792,00000001ML026,"Zvučnik SONY GTK-XB60L"
5786,00000001ML041,"Mini linija SONY CMT-SBT40D"
5761,00000001ML104,"Mikro linija PIONEER X-CM35-K"
5767,00000001ML117,"Mini linija PIONEER X-CM56-B"
5768,00000001ML121,"Mikro linija PIONEER X-CM56-GR"
5769,00000001ML124,"Mikro linija PIONEER X-CM56-R"
5770,00000001ML125,"Mikro linija PIONEER X-CM56-W"
5773,00000001ML126,"Mini linija PIONEER X-EM16-B"
5782,00000001ML129,"Mikro linija PIONEER X-HM36D-S"
5775,00000001ML131,"Mikro linija PIONEER X-HM16-B"
5776,00000001ML134,"Mikro linija PIONEER X-HM16-S"
5779,00000001ML135,"Mikro linija PIONEER X-HM26-B"
5780,00000001ML136,"Mikro linija PIONEER X-HM26-S"
5774,00000001ML137,"Mini linija PIONEER X-EM26-B"
5762,00000001ML145,"Mini linija PIONEER X-CM42BT-K"
5763,00000001ML146,"Mini linija PIONEER X-CM42BT-L"
5764,00000001ML148,"Mini linija PIONEER X-CM42BT-W"
5765,00000001ML149,"Mini linija PIONEER X-CM52BT-K"
5766,00000001ML150,"Mini linija PIONEER X-CM52BT-W"
5781,00000001ML153,"Mini linija PIONEER X-HM32V-K"
5777,00000001ML155,"Mini linija PIONEER X-HM22-K"
5783,00000001ML156,"Mini linija PIONEER X-PM12"
5784,00000001ML157,"Mini linija PIONEER X-PM32"
5778,00000001ML163,"Mini linija PIONEER X-HM22-S"
5772,00000001ML164,"Mikro linija PIONEER X-CM66D-W"
